Michelle,Martinez,mom5880,"""F$(HKN99iWg4[b5Rs#}_""",mmartinez@test.psu.edu,7174783393,30290,198-797-4302,Client,"""Adipisci quiquia voluptatem aliquam quisquam quisquam magnam.""",-21232,Orange
Bob,Anderson,bfa8402,"""+fGqs$QI^yj\!n%*v.44""",banderson@test.psu.edu,7174972987,18887,158-617-2617,Other,"""Quaerat numquam tempora tempora.""",-41604,Orange
Noah,Rodriguez,ntr9472,"""\z_s<0{W#+kL7S.KI""",nrodriguez@test.psu.edu,7173176174,31631,142-130-2798,Other,"""Dolorem porro numquam voluptatem consectetur tempora.""",77754,Magenta
Scott,Moore,ssm3529,"""xG!BQx[5]oE6ND0C""",smoore@test.psu.edu,(717)681-5327,35040,119-519-6064,Developer,"""Est labore modi non neque magnam eius.""",8818,Indigo
Kevin,Hill,kah5558,"""-Si%N^Ln>OpPR@sZh}""",khill@test.psu.edu,7178291996,17479,168-795-1887,Client,"""Etincidunt ipsum dolor magnam eius modi dolore ipsum.""",27612,Blue
Jean,Adams,jwa1544,"""1+s{fOO(UB#EJiJu""",jadams@test.psu.edu,7178052386,33833,102-278-5612,Developer,"""Labore quiquia sit ipsum quiquia.""",-81559,White
Theresa,Brown,trb3702,"""4[!?S6G:u&O;TNR.3k<""",tbrown@test.psu.edu,7174709071,20762,230-166-5182,Client,"""Velit sed non tempora neque quaerat ipsum.""",-94757,Black
Susan,Perez,scp1477,"""G+=/}^*B.We51C}xd}[0""",sperez@test.psu.edu,7179445634,19161,138-787-1949,Manager,"""Velit neque non dolor labore ipsum labore.""",35574,Blue
Heather,Rivera,hyr5519,""">QQe1VOd-:Dj(:c{owt\""",hrivera@test.psu.edu,7176253770,12411,128-329-2532,None,"""Sit neque etincidunt consectetur numquam.""",-97617,Blue
Emily,Davis,evd9758,"""qd81Nk?9Rr-^0Yq)j""",edavis@test.psu.edu,7179069338,23863,132-900-6134,None,"""Dolorem est porro est etincidunt numquam dolorem magnam.""",99878,White
Patrick,Jackson,pqj1890,""";UUGhwzubA&p!9""",pjackson@test.psu.edu,7172779934,34681,278-106-7578,Analyst,"""Dolor etincidunt numquam aliquam.""",93740,Cyan
Jordan,Davis,jzd9671,"""[I!RXn\.e8j6+G""",jdavis@test.psu.edu,7172252401,19074,224-367-1299,Analyst,"""Quaerat sit dolorem labore.""",-42746,Magenta
Lawrence,Lane,lxl8009,"""szl$rC0UB-K87*""",llane@test.psu.edu,7173061376,12568,223-694-3274,Analyst,"""Sed numquam sed quaerat neque dolorem magnam.""",71725,Red
Bryan,Nguyen,bdn3015,"""F:&Jsw6.y$9$AJq1h(j\""",bnguyen@test.psu.edu,7178934386,12822,124-497-9823,Analyst,"""Eius numquam quaerat velit velit quisquam porro.""",-24286,Cyan
Amanda,Martinez,afm5538,"""!?uCjJpoq#$r?!1gj2>""",amartinez@test.psu.edu,7177549862,16369,141-807-2480,Client,"""Tempora dolore modi voluptatem quisquam aliquam.""",-96601,Pink
Bryan,Hill,beh9664,"""yKs)ml@YRS4XhzxdY21x""",bhill@test.psu.edu,7174772722,12502,161-797-3429,Customer,"""Etincidunt ipsum sit voluptatem labore aliquam.""",-70955,Pink
Roger,Thompson,rtt9311,"""E>xLIjqU]U{zi>_uO$e""",rthompson@test.psu.edu,7172077096,35727,159-393-9914,None,"""Labore dolore quiquia aliquam non tempora modi.""",37718,Red
Jesse,Jones,jpj8701,"""g)<dj-AWlr8/q_""",jjones@test.psu.edu,7174882252,23045,165-812-9034,Other,"""Consectetur velit dolore dolor porro consectetur numquam dolorem.""",-17176,Indigo
Jerry,Lee,jnl6640,""">;>Vc\mlz$rM?2Rl4H""",jlee@test.psu.edu,7176917640,15214,178-482-2614,Developer,"""Numquam tempora eius quiquia numquam.""",-14817,Orange
Kathryn,Garcia,kog1163,"""W/.V37j^Gy!mz%""",kgarcia@test.psu.edu,7171813083,22513,212-853-2928,Developer,"""Adipisci amet porro modi quiquia.""",89945,Pink
Douglas,Taylor,dlt4355,"""J&!9/+B>2B+H:9#y""",dtaylor@test.psu.edu,7172258167,24720,143-843-3639,Customer,"""Quaerat magnam amet sit.""",-86228,Red
Michelle,Smith,mzs1160,"""^\Hy__;.HmKUx6:XT""",msmith@test.psu.edu,7178781372,20371,218-624-2502,Customer,"""Neque aliquam dolore quisquam consectetur.""",46127,Green
Angela,Allen,aea2173,"""#B/v=k8G.UzS)4""",aallen@test.psu.edu,7172051059,13829,169-579-5697,Manager,"""Ut sed etincidunt dolorem.""",81429,Violet
Cheryl,Sanchez,cos3155,"""H{T8NO[p0Zumyv\""",csanchez@test.psu.edu,7178945117,24528,287-379-5384,Client,"""Est porro consectetur amet magnam amet quiquia.""",-31131,Pink
Eugene,Martinez,edm2255,"""hA?OxukXKvHC[g""",emartinez@test.psu.edu,7175355444,35503,144-696-2757,Other,"""Sit magnam quaerat numquam aliquam quaerat consectetur etincidunt.""",-32210,Black
Gregory,Robinson,gwr6903,"""IZFR62[}]03eAI(8F""",grobinson@test.psu.edu,7176575186,20437,243-150-3468,Developer,"""Etincidunt eius ut est quaerat non.""",-72519,Cyan
Nicole,Jones,ngj5099,"""j1tD9hcc&LK\<RHxu0""",njones@test.psu.edu,7176067241,30367,154-168-5583,Client,"""Ut modi sed neque quisquam velit.""",68024,Orange
Kelly,Garcia,kyg8974,"""aEJT{80+s%WTRfcf""",kgarcia2@pennstate.com,7176053436,29604,133-316-7624,Developer,"""Numquam modi ut dolor.""",-28881,Pink
Harold,Green,hag1308,"""Coa1n@{e6}_?h(9gcJy""",hgreen@test.psu.edu,7178344215,22565,120-529-2683,Analyst,"""Labore etincidunt sed sit etincidunt est.""",63458,Red
George,Jackson,gfj4216,"""HCi%bG_o*8MnY=5)KnL""",gjackson@test.psu.edu,7177777868,33849,224-801-2995,None,"""Amet non voluptatem voluptatem velit est est.""",-97,Green
Gregory,Campbell,glc2140,"""+zY=)uRX:R>$Xg""",gcampbell@test.psu.edu,7179689023,21917,190-531-2762,Analyst,"""Quisquam amet sed sit adipisci.""",-82185,Indigo
Cynthia,Nguyen,cnn5160,"""!+%R/=V=QeNwk5/kw""",cnguyen@test.psu.edu,7176419850,37831,278-193-3202,None,"""Quiquia est eius amet tempora.""",-50885,Red
Elizabeth,Martin,enm8197,"""By*WrbCHhiJd3bU6k""",emartin@test.psu.edu,7173722920,12346,181-392-6925,Customer,"""Voluptatem etincidunt tempora aliquam dolor amet velit.""",-68298,Indigo
Denise,O'Neill,dio5077,"""=]^RsM>s:]P?gzz""",doneill@test.psu.edu,7174017487,35317,280-551-4231,Manager,"""Dolore quiquia ipsum amet adipisci tempora eius quisquam.""",-23115,Black
Terry,Lewis,tal7076,"""f33{7W@RZ>w?!)qhEnUO""",tlewis@test.psu.edu,7177973802,25337,213-327-1043,Developer,"""Etincidunt est voluptatem voluptatem consectetur dolore.""",-71086,Magenta
Cheryl,Smith,cqs1919,"""v<eNI]90sz1\$%Zn""",csmith@test.psu.edu,7171845064,33512,204-359-2310,None,"""Quiquia est numquam consectetur voluptatem quiquia amet porro.""",-63335,Magenta
Gerald,Jackson,guj1498,"""W?njoWdUU{WDY5""",gjackson2@pennstate.com,7178572444,34541,200-416-7389,Manager,"""Adipisci quaerat dolorem magnam etincidunt amet.""",-44577,Yellow
George,Carter,gsc4721,""":4Ub+TsV=#6K)bW(""",gcarter@test.psu.edu,7176491907,16259,136-289-5732,Client,"""Aliquam dolor ut quaerat neque velit.""",-13558,Green
Pamela,Lopez,pcl3059,"""gRHKQrLmY$#.Vv2n""",plopez@test.psu.edu,7175675118,15070,163-317-3284,Manager,"""Modi modi ipsum etincidunt ut.""",-31608,Yellow
Brittany,Mitchell,bhm8527,"""N6Y2uPXufb&2;!w16sG""",bmitchell@test.psu.edu,7174828617,27488,196-419-7819,Customer,"""Quiquia modi numquam dolore modi adipisci.""",74754,Orange
Virginia,Harris,vvh4128,"""xU#A(45$L(&Nezo!d""",vharris@test.psu.edu,7178621933,36205,274-447-5904,Other,"""Sit est ipsum magnam quisquam voluptatem.""",-81956,Blue
Terry,Moore,tcm2175,"""7IIX:?4m.Q+LTPX[""",tmoore@test.psu.edu,7174715941,28676,101-437-3376,Developer,"""Neque etincidunt sit tempora dolorem.""",-21855,Violet
Amy,King,ark6449,"""8h925G1.#o{x7SH{""",aking@test.psu.edu,7177595140,24124,293-735-8728,Manager,"""Quisquam ut tempora dolorem eius voluptatem.""",-15930,Orange
Larry,Wright,lxw1930,"""K=]bx\&E[Rg;IZ2&McT""",lwright@test.psu.edu,7176782536,13903,290-585-5007,Customer,"""Sed porro numquam tempora amet ipsum.""",21840,Blue
Danielle,Jones,dcj7511,"""zcW#YCOAE&eOdrz""",djones@test.psu.edu,7177966422,16217,213-836-6833,other,"""Adipisci adipisci est sed modi eius.""",62835,Violet
Alexander,Torres,alt6340,"""fvbN07ZR>J?gIEAg&%%6""",atorres@test.psu.edu,7178782866,16762,254-265-2365,Analyst,"""Velit velit voluptatem eius sit porro magnam.""",34918,Blue
Elijah,Gonzalez,eig1470,"""D=:[s]q{}2t2?b9""",egonzalez@test.psu.edu,7178459651,36044,285-568-7130,Manager,"""Eius etincidunt labore magnam ipsum.""",-17231,Yellow
Diana,Hernandez,dmh9645,"""p0pmQUC^MN%/XF""",dhernandez@test.psu.edu,7173509113,30509,236-680-5643,Other,"""Velit adipisci dolore modi velit ipsum eius non.""",-86555,White
Sophia,White,sbw2424,"""Q!TKb2B.+1?3>/[""",swhite@test.psu.edu,7174246718,16080,129-223-4009,Manager,"""Sed aliquam voluptatem magnam quaerat.""",22803,Violet
Isabella,Xi,isx3542,"""P8QFjA7V#F-@c*0*_/s/""",ixi@test.psu.edu,7173936071,35701,213-158-3794,Analyst,"""Quiquia dolore magnam dolorem tempora sed sit.""",73410,Blue
Benjamin,Carter,bxc1017,"""KZ;Uk?xN1[l5sT$HOlN-""",bcarter@test.psu.edu,(717)424-1030,30726,117-402-8293,Other,"""Quisquam etincidunt sed ut sit dolorem labore.""",-84117,Violet
Nicole,Davis,nod9574,"""K$W;2+McG4(B\u""",ndavis@test.psu.edu,7174545453,15866,298-189-9159,Customer,"""Non dolor ipsum labore.""",49664,Blue
Shirley,Gardner,sgg5094,"""_1eF@v!lmw@88]1aI""",sgardner@test.psu.edu,7172974770,33071,111-577-3976,Customer,"""Eius numquam aliquam quaerat non.""",73588,Violet
Virginia,Hall,vah4004,"""#hTHAGi*AP6(jblG}Xs""",vhall@test.psu.edu,7171943122,25108,212-517-6577,Manager,"""Quisquam dolor porro neque aliquam etincidunt aliquam modi.""",-4539,Black
Andrea,Baker,afb2995,"""n-P4zciN/;l%W6[:o""",abaker@test.psu.edu,7175751133,26508,154-688-7451,Analyst,"""Adipisci dolor dolore sit modi labore ipsum magnam.""",2199,Magenta
Emily,Brown,edb8532,"""OOeidX84Q^ap2fYD5""",ebrown@test.psu.edu,7177835747,17540,232-901-1725,Analyst,"""Dolorem etincidunt non est neque numquam dolorem.""",-13646,Black
Evelyn,Xi,elx9881,""";AqWvb/;No{xOb2*""",exi@test.psu.edu,7178183342,18564,234-180-2531,Manager,"""Numquam labore voluptatem magnam ut dolor neque non.""",98072,Red
Wayne,Gardner,wjg4649,""":8JwlJv(?YD0olVhSG.""",wgardner@test.psu.edu,7179404343,29868,189-588-1083,Developer,"""Dolore quiquia ipsum dolor.""",-49412,White
Richard,Adams,roa7424,"""wXPMoqE.IpmLv:!D""",radams@test.psu.edu,7178104598,34613,225-225-4614,Developer,"""Sed magnam dolore amet.""",-59700,Orange
Teresa,Lopez,tol7379,"""e2!C3bMRLhHk_^WZU""",tlopez@test.psu.edu,7175077983,27881,231-284-4069,None,"""Neque adipisci quiquia quaerat consectetur dolorem sed tempora.""",-91448,Violet
Sharon,Martin,sqm5143,"""JW<h[e&i744ca.e[""",smartin@test.psu.edu,7171472147,23587,286-152-8278,Analyst,"""Magnam sed numquam sit quisquam consectetur.""",27004,Black
Angela,Davis,acd9550,"""MDCR!mxE4=*G0)Cu#\7""",adavis@test.psu.edu,7174968444,27040,159-400-3517,Analyst,"""Dolor aliquam dolor voluptatem ipsum aliquam dolor neque.""",17860,Violet
Grace,Lee,gwl1128,"""!4;i)jR)R}bl@X%X""",glee@test.psu.edu,7178774055,17799,279-938-1001,Customer,"""Amet sed quaerat sit quisquam amet non porro.""",-54518,Blue
Donna,Anderson,dea9962,"""Z[Dl>EKJ&LWdHb:Ev%7""",danderson@test.psu.edu,7177566817,23261,266-587-1940,Manager,"""Voluptatem voluptatem ipsum modi magnam.""",99819,Cyan
Nathan,Garcia,nbg1517,"""_t898}Jw)rohbFu""",ngarcia@test.psu.edu,7176102987,35889,164-967-8944,Manager,"""Dolor amet modi non etincidunt.""",97955,Cyan
Judy,Martin,jum6147,"""Wq0:$x{Ms}49=7tw""",jmartin@test.psu.edu,7173846188,37687,278-506-7471,None,"""Magnam ipsum quisquam quisquam velit dolorem.""",-60109,Green
Scott,Johnson,srj5090,"""hrluRQphrukh8M""",sjohnson@test.psu.edu,7171901112,27782,165-512-5533,Customer,"""Etincidunt quiquia magnam magnam.""",80765,Red
Alan,Hill,aah2389,"""a6wH6d>N871jW[_0)-""",ahill@test.psu.edu,7178795323,30498,243-866-8844,Client,"""Eius magnam aliquam consectetur aliquam sit dolorem.""",-16953,Magenta
Terry,Thomas,tdt2142,"""w]\@;{s2vne.*hyE7""",tthomas@test.psu.edu,7179102475,12131,192-321-1728,None,,,
Theresa,Nelson,ten5190,"""7v+L\O!Q9=kC9->{X""",tnelson@test.psu.edu,7176894934,22287,109-364-3831,Client,"""Amet aliquam amet etincidunt sed dolor.""",-31795,Black
Donald,Sanchez,dhs5908,"""F6t)#NJF:[<T2sr7""",dsanchez@test.psu.edu,7173569572,27779,240-154-8041,Other,"""Aliquam quiquia quisquam etincidunt aliquam consectetur.""",-12656,Black
